time_s,force_dt001_N,u_dt001_m,v_dt001_mps,a_dt001_mps2,force_dt01_interp_N,u_dt01_interp_m,v_dt01_interp_mps,a_dt01_interp_mps2,du_dt01minusdt001_m,dv_dt01minusdt001_mps,da_dt01minusdt001_mps2
7.800000000000000266e-01,2.140000000000000000e+04,2.027746867188027005e-02,-8.397832747643546591e-02,-3.083258936893844560e-01,2.140000000000000000e+04,2.038475148749692434e-02,-7.640881849143307813e-02,-4.972318855820535566e-01,1.072828156166542868e-04,7.569508985002387780e-03,-1.889059918926691006e-01
7.900000000000000355e-01,2.020000000000000000e+04,1.942360603795723756e-02,-8.679419930817103279e-02,-2.548484726577282533e-01,2.020000000000000000e+04,1.977275082048863403e-02,-8.147840242163448266e-02,-4.939897164360246284e-01,3.491447825313964692e-04,5.315796886536550137e-03,-2.391412437782963751e-01
8.000000000000000444e-01,1.900000000000000000e+04,1.854424754416773846e-02,-8.907749944972880030e-02,-2.018115556538251365e-01,1.900000000000000000e+04,1.916075015348034372e-02,-8.654798635183590105e-02,-4.907475472899957003e-01,6.165026093126052542e-04,2.529513097892899243e-03,-2.889359916361705638e-01
8.100000000000000533e-01,1.810000000000000000e+04,1.764653429240312446e-02,-9.046515090319401375e-02,-7.571873503921833226e-02,1.810000000000000000e+04,1.828544330290465120e-02,-8.674452609298255457e-02,-3.965288326549296638e-01,6.389090105015267362e-04,3.720624810211459188e-03,-3.208100976157113315e-01
8.200000000000000622e-01,1.720000000000000000e+04,1.674076193782766259e-02,-9.068932001189837500e-02,3.088491329834508470e-02,1.720000000000000000e+04,1.741013645232895868e-02,-8.694106583412922196e-02,-3.023101180198636273e-01,6.693745145012960918e-04,3.748254177769153039e-03,-3.331950313182087120e-01
8.300000000000000711e-01,1.629999999999999636e+04,1.583758280204942276e-02,-8.994650714374957667e-02,1.176776603314155789e-01,1.629999999999999636e+04,1.653482960175326616e-02,-8.713760557527587547e-02,-2.080914033847975908e-01,6.972467997038434007e-04,2.808901568473701205e-03,-3.257690637162131697e-01
8.399999999999999689e-01,1.540000000000000728e+04,1.494568692919661171e-02,-8.843266742681264725e-02,1.850902830559715273e-01,1.540000000000000728e+04,1.565952275117758058e-02,-8.733414531642252898e-02,-1.138726887497325535e-01,7.138358219809688709e-04,1.098522110390118267e-03,-2.989629718057040808e-01
8.499999999999999778e-01,1.450000000000000546e+04,1.407184148066235180e-02,-8.633642228003934882e-02,2.341587462986882695e-01,1.450000000000000546e+04,1.478421590060188806e-02,-8.753068505756919637e-02,-1.965397411466651700e-02,7.123744199395362631e-04,-1.194262777529847552e-03,-2.538127204133547865e-01
8.599999999999999867e-01,1.360000000000000364e+04,1.322099076404308418e-02,-8.383372104381414669e-02,2.663815009463530448e-01,1.360000000000000364e+04,1.390890905002619554e-02,-8.772722479871584988e-02,7.456474052039951950e-02,6.879182859831113606e-04,-3.893503754901703195e-03,-1.918167604259535253e-01
8.699999999999999956e-01,1.270000000000000364e+04,1.239640273115467060e-02,-8.108388553386855491e-02,2.835856010427650897e-01,1.270000000000000364e+04,1.303360219945050129e-02,-8.792376453986251728e-02,1.687834551554655560e-01,6.371994682958306844e-04,-6.839879005993962369e-03,-1.148021458872995337e-01
8.800000000000000044e-01,1.180000000000000364e+04,1.159984863569667526e-02,-7.822693355773049917e-02,2.878047941848447255e-01,1.180000000000000364e+04,1.215829534887480703e-02,-8.812030428100917079e-02,2.630021697905315925e-01,5.584467131781317706e-04,-9.893370723278671619e-03,-2.480262439431313304e-02
